dataset,pca_qnn,zero_qnn,best_mrbi_qnn,delta_zero,delta_pca
breast_cancer,0.9583,0.8833,0.9125,0.0292,-0.0458
wine_binary,0.9476,0.8619,0.9159,0.0540,-0.0317
wine_0_vs_2,1.0000,0.9622,0.9933,0.0311,-0.0067
wine_1_vs_2,0.9790,0.9429,0.9657,0.0229,-0.0133
digits_1_vs_7,1.0000,0.9667,0.9833,0.0167,-0.0167
digits_2_vs_7,0.9875,0.9417,0.9583,0.0167,-0.0292
digits_3_vs_8,0.9667,0.9458,0.9458,0.0000,-0.0208
digits_4_vs_9,0.9875,0.9625,0.9792,0.0167,-0.0083
digits_5_vs_6,0.9875,0.9625,0.9833,0.0208,-0.0042
Mean,0.9793,0.9366,0.9597,0.0231,-0.0198
