dataset,spectral_radius,n_seeds,zero_qnn_mean,zero_qnn_std,best_mrbi_qnn_mean,best_mrbi_qnn_std,pca_qnn_mean,delta_zero_mean,delta_zero_std
wine_0_vs_2,1.2,3,0.9592592592592593,0.07056503290095427,0.9592592592592593,0.07056503290095427,1.0,0.0,0.0
wine_0_vs_2,1.6,3,0.9222222222222222,0.08183844368142364,0.9425925925925925,0.0994325463604356,1.0,0.020370370370370334,0.017858612520357284
wine_0_vs_2,2.0,3,0.9481481481481482,0.046259244432580705,0.9907407407407408,0.016037507477489613,1.0,0.04259259259259259,0.03699071176932996
wine_0_vs_2,2.25,3,0.75,0.08407081083567527,0.9351851851851851,0.04243125643477627,1.0,0.18518518518518515,0.0685685503021245
wine_binary,1.2,3,0.9417989417989417,0.056166332660217304,0.9497354497354498,0.042431256434776264,0.9457671957671958,0.007936507936507945,0.01374643498070539
wine_binary,1.6,3,0.9576719576719577,0.012756151800255248,0.9484126984126983,0.02777777777777779,0.9457671957671958,-0.0092592592592593,0.028707056103453275
wine_binary,2.0,3,0.8531746031746033,0.13474545116150513,0.9206349206349206,0.02777777777777779,0.9457671957671958,0.06746031746031737,0.1347454511615052
wine_binary,2.25,3,0.8161375661375662,0.11503374392194117,0.9470899470899471,0.023919499100562278,0.9457671957671958,0.13095238095238096,0.09776734122821362
digits_4_vs_9,1.2,2,0.9895833333333334,,0.9895833333333334,,1.0,0.0,
digits_4_vs_9,2.25,2,0.84375,,0.9375,,1.0,0.09375,
